qid,query
7614,How do introverts enjoy life
7616,Which is the best programming language to learn for hacking What are some books for beginners
7822,Why do people say Dhanush South Indian actor is ugly I dont think so
7841,How do I handle fear of change
7957,What is a conjecture What are some examples
7988,How do I rid myself of my paranoia
8055,How does the LinkedIn acquisition help Microsoft achieve its mission
8306,What is Fiverr and how do they make money
8456,Is Syrio Forel a faceless man following Arya around being different people
8458,What is it like to work at a call centre
8482,Am I too heavy as a pair skater 5 ft 108 lb as of late
8808,Who is better for India Donald Trump or Hillary Clinton Why
8810,How much has your salary increased from your first job to today
8831,What is the Best way to learn Oracle HRMS
8950,What did Theodore Roosevelt mean when he said Black care never sits behind a rider whose pace is fast enough
9214,What are some baby shower games that are actually fun
9294,How does the Laravel authentication work
9312,How do I make reading a habit
9340,Why did Ecuador cut Julian Assanges Internet access
9376,Can anime exist in a parallel universemultiverse
9602,What are the trickiest questions asked in an interview
9615,Will President Obama declare martial law and remain in power if Trump is elected
9658,How does one become more strategic
9733,How important is sex in a relationship
9889,Why does phase shift take place in the output of the common emitter amplifier when compared to the input signal
9965,What is the best way to memorize notes
10024,How do I reset my Gmail password when I dont remember my recovery information
10113,Where is starch digested How is it digested
10155,How do I use Facebook in China
10188,What did you write in your admission essay for college
10453,Why do people stand I long queue to meet dadi hirudaya mohini at Brahma kumari centers Is it right to do so
10648,How can I become a CFO
10722,What does Shri Narendra Modi as a prime minister expects from the citizens or youth of India
10810,Whats the fastest tank ever to be made
10889,What are the best lyrics of Bollywood
10910,What was the worst thing to happen to you for being rude
11009,What facts about Mumbai would people not believe unless they came to Mumbai
11037,Is India better than Pakistan
11167,Will the value of Indian rupee increase after the ban of 500 and 1000 rupee notes
11221,How do I purify meth
11227,What are some problems you face everyday
11302,When  how did Switzerland become so rich
11591,Is it possible to lose weight without doing exercise
11726,What is the most famous country
11733,Why do some white people hate nonwhite people
11864,Muslims whats your thought on Maajid Nawaz
11904,Have you seen this Trump vs Clinton debate clip
12087,How can I enjoy my own company
12135,How have you simplified your life
12154,Which is the best font for logo design
12508,Where can I get best qualities outdoor tiles in Sydney
12584,What is the greatest mystery in earth
12703,What should a guy do when in the middle of a conversation his girlfriend switches over to watching movies than talking to him
12892,Do you prefer manga over anime
13080,What are some good books for learning about electronics
13155,What are the 12 organ systems Why are they important
13202,Whats the difference between 4G and 4G LTE
13276,What should I engrave on a promise ring
13285,Why do some of my black friends hate white people
13287,Can you share any unusual experience
13380,What are some of the types of computer viruses
13449,Which is the largest black hole found to date
13493,When Hillary Clinton was asked to resign as Secretary of State what excuse did she offer for leaving
13617,How can you differentiate between a democracy and a republic exactly
13691,How do you join a Human Rights Commission
13894,What is sampling in research methodology
14087,Which is best site for freelancing
14124,Which jobs have a high turnover rate
14230,How can you become an adjunct professor Will the teaching contentcurriculum be provided by the University or College What is the typical selection process that Universities follow to select an adjunct professor
14233,What is the creepiest song you have ever heard Why
14275,How do I learn Spanish as soon as possible What is the best way to learn
14554,Which language is the best for web development
14555,What has been the economic impact from Brexit referendum so far
14642,What percentage of men have had sex with a man
14903,What are restricted stock units What are some examples
15000,What is the speed of electricity and why
15040,What do Americans think of cricket
15213,Why isnt Election Day a national holiday
15275,While traveling from US to India which Airlines allow maximum luggage for an economical class traveler
15315,What is your review of Suicide Squad
15367,What are the best answers for Why you want to leave your current company
15582,I want to share my feelings as I can find no one to share with Im in deep depression Will you listen
15785,What is the ideal reading speed
15889,My period is 10 days late Am I pregnant
15963,Why did the Bantu migration occur
16093,Why do some people cry when they get angry
16278,How can I be more attractive to women
16500,How do I answer the question who am I
16728,What are the most underrated things in life
16939,Loopholes of the new policy to withdraw 500 and 1000 currency notes
17081,What does it mean when a girl say she needs space to better herself
17087,Are we too dependent on computers
17121,What are the best SEO techniques for offpage SEO
17132,Can I increase my height at the age of 17
17212,How do I astral travel
17222,What are some cool assasin names Why
17249,How can we communicate effectively with our chlidren
17268,Which is the best government job in India and why
17847,Why would you stop using Quora
18001,How can I treat purple spots on my tongue
18029,How do I get better at developing a new skill
18094,Who would win in a fight Goku or the Hulk
18291,How do I become a good friend
18315,How can I find a job in China
18491,Why do Indians think a lot about what others think
18571,How can you stop falling in love
18859,Whey is the sky blue
19017,What is the best book for electrical machines
19112,What can natrully change your eye color
19143,Where does the New Testament support the concept of tithing
19300,What Android version will come after Lollipop
19373,Is there anyway to hide the public activity on GitHub What is its use
19550,If darkvacuum energy is created with expansion and it has no limit could infinite energy be created then
19580,Why are dimples hot on girls
19710,Why should someone buy an iPhone
19733,What would happen if Trump doesnt concede to Clinton Why is this issue all over the news right now
19946,How do I avoid someone without them noticing
20074,How do you stop a puppy from barking all night
20214,Who is Jordan
20424,How do clouds float
20605,Are human beings naturally monogamous
20698,What is your review of the Wonder Woman trailer released at ComicCon 2016
20758,How can I use a bike in a different state without changing the registration number
20824,Who would win in a fight Captain America or Batman
20896,Web development What is your programming language and why you chose that to make your life better
20949,How does it feel when a person has sex for the very first time
21033,How does recession match with gross domestic product
21122,Would you consider teaching as a full time job
21210,What is backlink in seo
21309,Is there any age relaxation for a police personnel who wants to appear for the CAPF AC exam
21339,Is there something that can travel faster than light
21529,Is it possible that Russia and the US will fight a proxy war in Syria
21581,Why do some people enjoy a quick sniff of gasoline
21634,What is data science
21724,What was the GlassSteagall Act
21769,Who has the most followers on Twitter
21858,How do I build self esteem
21867,Whats the best Tor Browser app for iOS
22006,Which are 10 best novels one should must read before die
22067,Why is Sion station called Sheev in Hindi and Marathi
22259,How can I get my lost iPhone IMEI number back
22344,Which is the best coaching institute for CAT in Delhi
22401,What is the average salary of a web designer in India
22434,Which is better for the robotics enthusiast Arduino or Raspberry Pi
22465,How do I clean my lungs
22869,What is the fastest way to find my account number of Chase
22934,What are some of the basic minerals found in Nigeria
23042,What is the meaning of corporate company
23097,What are power dynamics
23141,What is currency chest
23294,How many diciples did Jesus have
23430,Why do white girls date black guys
23725,Why cant creationism and theory of evolution coexist
23833,What some things you would like to fix in high school public education
23968,What is the best way to prepare for the GRE in 45 days to score above 315
24119,What have you learned during your internship
24162,Im still a college student in information security In order to work in those large IT firms like Google Oracle and Facebook what programming language do I need to know
24263,How can you fix a leaking garbage disposal
24264,What do you want from life
24611,How do I make a distinction between adult film stars porn stars and prostitutes
24746,Should President Obama Pardon Hillary Clinton Before the Election
24940,What are facts about the local train in Mumbai
24962,Who would win in a fight between Batman and The Flash How and why
25001,What type of movies do you like to watch
25004,What is the algorithm used for random number generation
25046,Do pro sports teams pay for families to travel with them
25174,What are the pros and con of choosing to become a doctor
25239,Where can I meet Aussies in Toronto Canada
25463,What are the home remedies to prevent hair loss
25636,What should be banned in India
25740,Is caffeine unhealthy
25778,How do I prepare for the KVPY SX
25930,What can I do to be a good friend
25953,What is the function of DNA ligase in DNA replication
26021,My girlfriend just left me without a reasonhow do i heal my broken heart
26122,Can someone help me solve this highschool math problem
26354,Which is your favourite painting and why
26478,How do I invest in a share market
26488,What are some mindblowing science home tricks that most people dont know about
26492,What can we learn from Donald Trumps win
26504,What are some hilarious WhatsApp conversations
26542,What thrust should be develop to lift 200 kg of weight
26567,How can I tell my mom that I dont believe in god
26711,What is the legislative branch responsible for What is the publication of the legislative branch
26746,Has Ancient Persia been scientifically tested
26799,What are the powers and responsibilites of an IAS officer
26885,Hows everyone doing
27109,How can I start getting involved in politics
27118,What is a remainder
27247,I am a fair skinned girl why are my pubes dark in colour
27290,How can you improve the fine motor skills in preschoolers
27335,Why do so many countries hate Israel
27452,What is the Land Acquisition Act
27518,Whats the future of photography in India
27531,How do turnaround time and response time differ
27558,How US presidential election takes place
27637,What is EDM
27666,What are some of the best wallpapers ever
27727,How can I see my very first written answer on Quora
28040,What can I learn in 2 minutes that will be useful for the rest of my life
28072,What were the highlights of PM Modis speech on New Years Eve 2017 and what are your views about it 
28094,Where is the best place to retire in the US
28543,Are their any dispute in the answer key of neet 2 given by cbse
28564,What are the 5 elements of nature
28580,Why is the orbit of Pluto tilted relatively to the other planets
28695,Why are some people more intelligent than others
28765,Which part of spider plant bears bud
28807,How do you unlock an iPod when you forgot the password
28866,What are the mathematics prerequisites for understanding Machine Learning
28877,Is it possible to create synthetic gold
28919,How do we predict the weather
28954,What does per se mean
29011,What are the funniest photos you have ever seen
29090,How widespread was election fraud in the 2016 democratic presidential primaries
29097,What are some ways to prepare for the 10 board exams
29155,What is the best kissing technique
29394,Does the Black Knight satellite actually exist
29598,Can I use Jio SIM in 3G
29637,Why is the iPhone 6s so expensive
29725,What is the rarest colour
29878,What could be considered the best advice that could change your life
29985,What role does money play in life
30113,Can I build a custom gaming PC without internal wires
30423,Which is the best book to learn Python 3x
30465,Which is the best Smartphone under INR 15000 
30500,How can I earn passive income while still in school
30569,Is it bad to want to become very rich
30614,What would happen if terrorists seized the White House
30715,How can I get my wife to perform oral sex on me
30789,Why am I so hesitant to talk to a woman I like now
30989,What do you think about the cause and effect in celebrities scandals
31414,What makes a girl fall in love with a guy
31421,What national anthems do not have lyrics
31554,Is Quora biased towards the Democratic Party
31568,What is your review of La La Land 2016 movie
31585,Who do you think is the most overrated Indian author
31623,Which programming languages can I use for developing just a simple website
31629,What are the eating habits of an octopus
31907,Is the formation of water endothermic or exothermic
31959,What are the best romantic songs in English
32000,At what age does breasts stop grow
32053,Why did the huns invade China
32143,Smartphones Are there any Moto G2 generation call record apps
32265,Where the web movie free with English subtitles
32370,What happens to gravity when matter is converted to energy Does energy exert a gravitational field
32424,What will be the expected cutoff of IBPS clerk 2016
32459,Why do table fans rotate in the clockwise direction and ceiling fans anti clockwise Is there a technical reason
32479,Does our Moon have moons of its own
32560,What programming language is best easiest to learn first
32684,Why are these eggs simmered instead of boiled
32717,Would The Beatles have had similar success or popularity if they had stuck with Pete Best as their drummer How would their music be different
32819,How do you attract parents of preschool children online
32873,What is the meaning of rhetorical With examples
32990,Where can I get very safe work processes in Sydney for any air conditioning installation
33364,What do people think about president Obama
33665,Can we stop climate change
33835,What are the parts of the river
34043,Why does my cat lick plastic sacks
34046,When will Muslims be out of minority status in India
34049,Is Donald Trump going to be the next US President
34124,Is human DNA the same from birth to death
34156,How can you join the NCIS
34231,What does a healthy diet consist of
34233,How does a space elevator work
34312,How can we manage our failure
34323,Where and how can I express my feelings
34360,How do I make my face thinner
34768,How do you define love
34842,Whats the thought that came to your mind when you saw dead body
34858,How would you establish that the configurations of C3 C4  C5 atoms of DGlucose and DMannose are the same
35291,Would Elizabeth Warren have defeated Trump if she had been the Democratic Nominee
35408,What are some of the most profound quotessayings
35606,What are some of the best science projects
35780,Why do most people find great joy in having babies
35857,What is the Einsteins Relativity theory
35868,How can a person send a friend request when there is no common friends
35967,Why do I feel more tired after a nap
36134,How do I prepare for gate 2018 CSE
36189,What are the best electric scooters in 2016
36353,If you knew you were going to die tomorrow what would you like to finish today
36374,Is privacy a human right
36428,Does hard work always pay off
36455,How do I overcome from depression and stress
36466,Is 1 year enough to crack iit
36478,Will Donald Trump end up in some conflict of interest
36509,What real verifiable evidence is there that Jesus was crucified
36695,What does the Barnard College look for in a student
37056,What does it take to become a politician
37203,Why is New York one of the greatest cities in the world
37216,What is the most haunting experience you have ever had
37240,Where can I find Reviews of Jodat Law Group
37259,How can I increase D2 receptor density in my brain naturally
37333,Who is the most educated president in the world 
37362,What would have happened if Hitler hadnt declared war on the United States after Pearl Harbor
37425,Why cant humans ever stay perfectly still
37446,Why do the person you love the most hurt you more
37510,What is The Battle of Hogwarts
37563,How to learn MATLAB
37574,What are the top 10 programming languages to know in 2016
37825,What AP classes did you take in high school
37830,Which country is most likely to trigger WW3
38191,What is the weirdest gift you received on your birthday
38325,When babies sleep do they dream If so what do they usually dream about
38756,If I block someone on snapchat will they still see the last message I sent
38888,If you could name one book that changed your life what book would it be and why
38943,Can I improve my English
39045,What do you think of Nikki Haley
39116,What are some of the questions which has no answers
39287,How is chocolate made
39421,Is long distance running healthy
39582,What are some good ways to impress a Bengali girl
39734,What can Indians learn from the Japanese
39768,Why did Hillary blame the Benghazi attacks on a stupid youtube video
39836,How does the Greek language sound like to foreigners
39923,Is there any hockey club in Raipur Chhattisgarh
39930,What contributed to the rise of fascism
40003,Is Christopher Langan the smartest person in the world
40014,Will multiculturalism ever work
40126,Are men visual creatures
40129,How can I watch Rio Olympics Online Live
40276,Can I become a millionaire heading into 2017 selling on Amazon or is it getting to saturated
40289,What major misconceptions do US liberals have about US conservatives
40363,How do I earn more by investing in share market
40450,How can I legally download free music on my iPod
40530,How can one control mood swings
40639,How can we avoid human verification in 8 ball pool hack
40673,How is the picture of our Milky Way galaxy taken from the outside if we are inside the galaxy
40926,What is the best things to do in free time
41027,What is the worst advice anyone has ever given to you
41056,What was the hardest question you have ever answered
41068,What is quantum computing
41085,Can wires like HDMI get spoiled if I put them outside the house in a cold weather like 0 or 1
41390,Why are some Europeans getting involved with ISIS Are they denouncing their faith to join them
41583,Why did you choose marketing as your subject
41742,How can I find my nationality
41798,Who will win the 2015 NBA Finals
41863,How can I get very rich
41877,Why are iPhones costly
41958,What is it like to get into Harvard
42001,How do concave and convex mirrors differ
42073,Are there any airports with heated runways
42223,What is Rons patronus
42248,What is the best voice recording software
42361,What is the nature and scope of diplomacy
42399,Which promocodes are used to get cashbacks on freecharge
42647,How do I apply for scholarship
42691,How much does it cost to build a website in India
42759,Do you believe in supernatural powers spirits ghosts
42777,What can I do after my computer science engineering
42972,Is success the best revenge
43188,What is the best way to get rid of a sore throat
43199,Will Narendra Modi become PM after the 2019 general elections
43213,Whats the best way to port an iPhone app to Android
43234,How do I make myself more productive and happy
43287,How do I overcome existential depression
43295,Whats the definition of beauty for you
43347,Will lime water help in reducing weight
43614,How can I become the Prime Minister of India
43694,What is the salary after clearing upsc exam
43703,Which is the best way to improve football skills
43722,Why cant I enjoy sex with my boyfriend
43827,Which is the best film industry in India and why
44233,How does the universe evolved
44276,How can one become part of the 1
44282,What is the last thing you would like to do before you die
44381,What are pros and cons of wind turbines
44542,What are some good ideas for making YouTube videos
44573,How can i earn money through blogging in India
44588,What should I do to find a good life partner
44623,What causes sleep paralysis
44657,How do Visa and Mastercard make money
44815,How can you attract more bees with honey
44894,What is your favourite recipe for French Macarons
44911,What can I do with this iPad
45055,Is Barack Obama the secondbest president in US History
45076,Why is chocolate addictive
45085,Do I stand a chance to get in to Stanford for an MS in CS
45100,When do various bones stop growing
45114,How do I handle my schizophrenic brother
45622,How do you know your sexual orientation
45731,What are some of the best Korean horror movies
45754,Is there any lack in the architecture of the Meenakshi Temple Tamil Nadu
45781,How should I promote my ecommerce website
45793,What are the best ways to improve your body language
45953,How does wifi work in airplanes
45961,What are the best smartphones to buy under 15k in india
45962,How do I unlock my laptop keyboard
46029,What is the Milky way
46190,Are PhDs overrated
46530,How do I get started with selling online
46644,How can I be a private detective in India
46768,What is the meaning of surreal
46970,Is US democracy broken Should the Constitution be scrapped What aspects of the political system should be retained and what reforms are needed
47026,What are the top hospitals in India
47055,Which bicycle is best for India
47075,What EHREMR is best for public health departments
47076,How is fried ice cream made
47183,Why do humans love to not eat humans
47210,How can I develop a positive attitude
47270,How do I restore faith in humanity
47336,What should I do when date of birth different in birth certificate and other all education certificate same dob how can I apply for fresh passport
47432,When and how will inhuman atrocities on dalits stop in India by the so called upper castes
47509,Why should I visit India
47572,What are some of the best books on behavioral economics
47650,Was the first crush in your life something you had or something someone had on you
47953,Which one is better to buy Xbox or PlayStation and why
48311,What are some cool bicycle accessories
48446,What is a micro stay
48790,How can I get a job in one month
48982,How can I treat knee muscle twitches
49160,How can I hack a bank account
49289,How can I install WhatsApp on PC without using Bluestack
49305,Why does my husband hide his conversationdiscussion with his family from me
49358,What if the Dirty War in Argentina never happpened
49483,Is love real or just a perfect illusion
49497,What is the best way to meet new friends
49679,How harmful could it be if my dog ate a toad
49755,What is the reason behind banning of 500 and 1000 notes in India
50021,What are some common examples of renewable resources
50106,What does wiki leaks have on Hillary Clinton
50184,How many calories do I need have in one day
50687,Whats the best and quickest easy way to find a job
50811,How can you cancel you Amazon prime free trial
50832,Which is better CA or MBA
50861,What do you do if your dog is vomiting yellow bile and not eating
50885,Since the human brain is basically a biochemical machine is it possible that scientists could create a robot that is self aware conscious
50936,Why does clock show 1010 in comercials
50987,Which is the best institute for SSC CGL preparation in Delhi
51082,Does infinity exist in nature
51227,What are the books required to prepare for IAS
51244,What is the daily limit to answer questions on Quora
51282,Can humans ever attain biological immortality If so when
51318,What are some good websites to learn data structures and algorithms
51329,What are my chances of acceptance to an Ivy League school
51425,How can I become confident 
51539,Whats the best way to fly business class cheaply
51649,What is it like to lose your virginity before puberty
51722,Why has flipkart acquired Jabong although it already has Myntra
51756,Where do I buy bitcoin
51765,How do I prepare for GMAT Exam within 4 months
51769,How can i get rid of lower back pain
51777,Gun control prevents crime
51819,Whats the business model of OLX
52011,What was your most interesting moment in your life
52055,Where is Sir Arthur Conan Doyles house Is it open to tourists
52161,What is hypnosis And how it can be done
52365,What is the best way to cure asthma
52457,Which is the best Indian movie according to nonIndians
52508,What is the mind mapping
52578,Can magnetic field deflect static charges
52603,Does masturbating cause acne or even pimples
52609,How can I earn money without doing anything
52718,Can I change the battery of my phone with high capacity one
52842,How do I manage time efficiently so I can get the maximum output from my studies as Im in school
52865,When should I start preparing for CAT 2019
52971,How do I know if someone is a pedophile
53057,How can I increase memory power
53082,Does PhenQ weight loss pills work
53123,How can I live in the US without a student visa
53154,What are the best educational games for kids to play
53277,How can you tell if someone is gay
53306,What does it mean when my girlfriend asks for a break
53487,What city is Gotham
53843,How does Flipkart make profits
53941,How can a man convert his black money into white after 8th of November 2016
53989,What celebrity death hit you the hardest
54025,What Are The Best Photographs of X What is the most powerful photo you have ever seen
54086,What does it feel like for a woman to have sex with a man with a large penis
54214,What would happen if everyone suddenly just went vegetarian
54256,How do you know when you should break up with someone
54297,Is there infinite energy in zero point energy and infinite virtual particles in vacuum energy Is this a real or just a mathematical thing
54476,What are some good examples of the circuit breaker design pattern in use
54629,Which American restaurant chains can be found in Norway What do Norwegian people think of them C 
54660,Why is the currency value of Kuwait so high
54707,Am I the only Indian who is not interested in cricket
54793,What is the best gift I can get for my best friend for his birthday
54802,What are the programming language required for a chemical engineer
54826,How would you improve Google
54893,What were the coolest things youve automated
54919,What is the best book about digital marketing
54946,Why is Pakistan not accepting that any surgical strikes happened
55167,When can we expect rbi assistant 2016 notification
55221,What is the reason behind the recent fall in oil prices
55265,Is the United States a terrorist state
55573,How can I start an acting career
55610,What if the United Kingdom and India went to war
55626,What is the best place to travel
55764,How does fire survive inside the human body
55894,If a police officer wrongly arrested someone based on false testimony could the department be sued
56142,How do I write white papers
56193,How good is Yale Universitys computer science department
56372,What are the best PDF to Word converters
56403,How do I get a job in VLSI companies
56487,How are monster balls paintballs made How are they used
56603,How much does bariatric surgery cost in India
56641,What are the differences between Brazilian jiu jitsu and Muay Thai
56749,What does it mean when my husband reads face book articles and looks at pictures of online models all the time
56818,Is it safe to eat moldy bread if I toast it
56853,Can I drink green tea at night
56895,What are all the different types of visas
57074,What is the smartest thing anyone has ever done
57080,Was the financial crisis of 2008 caused by the banks
57170,Who is the worst person in the world
57386,How can we eliminate handshaking
57532,How can I learn Python programming quickly and effectively
57615,Physics Is area a scalar or vector quantity
57617,How do I buy a bitcoin
57636,What causes clinical depression
57811,Which Ivy League College has the best computer science program
57881,Are intelligent people more likely to be alone
58345,What are some of the most common examples of imperative sentences
58351,What is fungus
58499,Taxes in India Can I download a soft copy of my PAN card
59208,Is the speed of electricity a synonym for the speed of light
59395,What is a good natural stimulant
59551,How do programmers improve their logic in coding
59623,How well does Photoshop run on Mac OS X 109 Mavericks
59635,How do I start a startup business if we have an idea
59711,What are the questions that remain unanswered
59751,Do angels really exist
59992,What is the enlightenment
60000,What are good ways to overcome dyslexia
60247,How difficult is it to get into IIT
60594,Which is the best laptop for a computer science student with in the cost of 35000Rupees
60810,What can I do if my roommate snores
60821,Why do some people on Quora feel the need to write small books instead of simple answers
60935,What are the movies in the Hannibal movie series from first to last
61024,Can you take a helicopter to the Mount Everest summit
61187,What is this years DU cut off
61197,How reservation affecting future of india is it increasing brain drain
61256,What are some amazing facts related to pharmaceutical field
61351,How do I improve the power of expression
61570,Are there any places you can download full music albums legally for free
61657,Where can I get cheap but decent quality clothes for men in New Delhi Is Sarojini Nagar a good place for this
61699,Why can so many people believe without question that the Earth is round but not that it might indeed be flat
61705,How much can I spend on rent in Manhattan
61748,What will happen if Big Bang occurred once again
61794,What are the top MBA colleges in the world
61965,What are obligate aerobes What are some examples
61971,Why study MBA abroad
62142,How do I satisfy sexual desire without masturbation or sex
62371,What are the advantages of being a woman
62411,How does a total beginner start to learn machine learning
62535,Which is the hardest programming language
62546,How long does it take to learn how to develop an Android app
62575,What made you end your long distance relationship
62644,Whats it like to work at amazon
62737,What do nonAmericans think of trumps victory
62766,What are some good books to read of all time
62787,What are some examples of good manga names
62806,Why are there evil people
62888,What happens if you dont drink water
62994,If I unfriend someone on Snapchat can they still see saved messages that they saved
63127,How can I train a dog perfectly
63249,What does it feel like to love someone you cant be with
63274,What limits the power of the legislative branch have
63434,How do you calculate your net worth
63436,How do I fall asleep on Christmas Eve
63644,How do I lose muscle in my legs
63898,What is meant by asexual reproduction
63946,Do animals or birds get bore
63957,How will you get corporations to pay their fair share of taxes
64018,How do I get rid of head lice
64112,What countries did France colonize
64118,How much time will it take for my beneficiary to receive the money through NEFT
64131,What is it like to live in Egypt today
64387,What is best free one page theme for WordPress
64609,What is the best Android app for learning Android programming
64653,How can you get over an adultery
65000,What should the rest of the world learn from India
65312,Whats your way to handle stress
65751,Can I still Download from Torrents
65781,How can I fit into the German lifestyle
65861,Who is the biggest traitor in the history of Australia
65932,What came first Jainism or Hinduism
65966,What is an explanation of the Big Bang theory
66040,Who caused the Cold War
66240,Does meditation help against anxiety
66571,Which is the best book for self studying cost accounting and financial management for IPCC
66779,What is it like to work for RBI
66935,What are some Healthy requirements to obtain Credit card
67128,Is Starbucks overrated in india
67167,What should one do to get motivated and stay motivated
67248,How can I become more passionate about something
67330,Which are the European countries
67351,How can an individual learn about linguistics
67367,Whats your favourite question
67371,What are some of the more well known contributions of Mother Teresa
67570,What is your favorite English movie and why is it your favorite
67575,Which movies have undeserved low ratings on IMDb
67600,Why i cant get angry
67629,What are the lessons we can learn from vikings tv series
67680,What is it like to use Snapchat Spectacles
67785,Would you please recommend a good horror movie
67853,Which board should I take up after my 10th
67972,What are the best gaming laptops
68010,How do I get good at competitive coding at CodeGroundin
68059,Which TV series is similar to House MD
68117,What is Hillary Clintons stance on the H1B programme
68201,What are some good jokes for Facebook
68223,What are your best customer service tips
68283,What kind of work experience is required prior to pursuing an MBA in the USA or other countries
68293,How do I get more productive while studying
68332,Which is the best coaching in Ahmedabad ICE or the GATE Academy
68385,Who was the worst CEO of all time
68394,How should I prepare for the amazon internship written test and interview
68465,When is the abstract method required in Java
68466,When do you really need to create an abstract class
68480,What are some of the best custom software development companies
68513,What are some ways to increase my Quora credits
68538,Are there some games to improve my memory
68785,How do I worship death
68858,How do you teach a child to stop lying
68973,How should I start a career on ethical hacking
69005,Who are the best fashion photographers
69019,What is the difference between cream and paste
69031,How long should it take to learn French
69051,Are you happy with what you are
69198,What were the real reasons behind the dissolution of the USSR
69278,Do the Rothschilds rule the world
69351,How does car power steering works
69462,Where can I find a dirt bike suspension specialist in Arizona
69471,How do I build a PC
69547,Do Coding Bootcamps work
69725,How do I know if someone blocked me on imo
69758,What stretching exercises can I do to relieve severe lower back pain
69844,What is an identifier
70000,What are the job prospects after completing the course of Masters in Applied Computer Science from Dalhousie University Halifax in Canada
70047,What are your favorite science fiction short stories
70058,How do you stop missing someone
70141,How do you remove spray paint from plastic
70142,Can the us be invaded
70158,How is like to work in ONGC
70231,What is GTA V online
70296,Which is the best service electrolux air conditioner repair center in hyderabad
70305,How do I make interest towards studies
70340,What is the weather in Orlando like in June
70382,How do social network sites make money
70387,How can I get good marks on my exam
70457,What is the strongest spider web
70627,What is the best phone under Rs13000 In 2016
70887,Why is there a minimum age limit to vote but no maximum age limit
70945,What is the best supplement to use if I need more energy
71044,How can I invest Rs 1 lakh to get 10000 monthly
71146,Does USPS provide boxes If not why
71225,What are the best web development projects
71256,What does it feel like to be possessed
71332,How can I upgrade my iPhone 6s to iPhone 7 in India
71364,Does Hillary Clinton have any serious health issues
71500,Why is depression a disease
71622,Why do good people suffer more in life
71661,What are the best websites for language exchange
71813,What is hard disk
71838,I want to know people checking on my WhatsApp profile
71863,What are some sites where college students can earn cash or free shopping and gift vouchers just working in spare time
71960,How I study smarter not harder
72282,What are the skills to require a job
72472,How do I start my own printing press company of novels
72653,What does it feel like to have a sibling much younger than you
